EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,EventLocationName
20220808.1015001,2022-08-08T10:15:42.000Z,48.4638,-123.3892,19.68,ML,0.78,"3 km N of Victoria, BC/3 km N de Victoria, BC"
20220718.0440001,2022-07-18T04:40:25.000Z,48.4621,-123.3901,19.45,ML,1.05,"3 km NW of Victoria, BC/3 km NO de Victoria, BC"
20220718.0200001,2022-07-18T02:00:42.000Z,48.478,-123.4099,19.46,ML,1.33,"4 km NW of Victoria, BC/4 km NO de Victoria, BC"
20220718.0002001,2022-07-18T00:02:52.000Z,48.4525,-123.3758,18.56,ML,1.18,"1 km N of Victoria, BC/1 km N de Victoria, BC"
20220717.2233001,2022-07-17T22:33:00.000Z,48.4869,-123.3902,18.15,ML,1.31,"5 km N of Victoria, BC/5 km N de Victoria, BC"
20220506.2220001,2022-05-06T22:20:02.000Z,48.484,-123.4482,11.97,ML,1.26,"7 km NW of Victoria, BC/7 km NO de Victoria, BC"
20220503.2121001,2022-05-03T21:21:20.000Z,48.4667,-123.4726,11.7,ML,0.63,"8 km W of Victoria, Canada/8 km O de Victoria, Canada"
20220429.1855001,2022-04-29T18:55:25.000Z,48.3867,-123.2612,26.41,ML,2.11,"9 km SE of Victoria, Canada/9 km SE de Victoria, Canada"
20220423.1937001,2022-04-23T19:37:36.000Z,48.4497,-123.4812,10.45,ML,0.69,"8 km W of Victoria, Canada/8 km O de Victoria, Canada"
20220423.0358001,2022-04-23T03:58:30.000Z,48.4777,-123.3893,18.83,ML,1.39,"4 km N of Victoria, BC/4 km N de Victoria, BC"
20220407.2305001,2022-04-07T23:05:05.000Z,48.4603,-123.4892,10,ML,0.44,"8 km W of Victoria, Canada/8 km O de Victoria, Canada"
20220303.2003004,2022-03-03T20:03:29.000Z,48.4768,-123.396,19.18,ML,1.24,"4 km NW of Victoria, BC/4 km NO de Victoria, BC"
20220225.0002003,2022-02-25T00:02:26.000Z,48.373,-123.2672,18.05,ML,1.24,"10 km SE of Victoria, Canada/10 km SE de Victoria, Canada"
20220129.0717003,2022-01-29T07:17:37.000Z,48.4642,-123.2752,21.71,ML,1.25,"7 km NE of Victoria, BC/7 km NE de Victoria, BC"
20220117.0211003,2022-01-17T02:11:06.000Z,48.4166,-123.4106,1,ML,0.68,"4 km SW of Victoria, Canada/4 km SO de Victoria, Canada"
20220116.1348002,2022-01-16T13:48:15.000Z,48.4593,-123.2947,21.39,ML,1.38,"5 km E of Victoria, BC/5 km E de Victoria, BC"
20220111.2333003,2022-01-11T23:33:03.000Z,48.4823,-123.4566,15.6,ML,0.22,"8 km NW of Victoria, BC/8 km NO de Victoria, BC"
20211205.1326005,2021-12-05T13:26:53.000Z,48.3935,-123.4873,20.01,ML,0.18,"9 km SW of Victoria, Canada/9 km SO de Victoria, Canada"
20211204.1731005,2021-12-04T17:31:29.000Z,48.468,-123.26,22.78,ML,0.55,"8 km E of Victoria, BC/8 km E de Victoria, BC"
20211029.0648004,2021-10-29T06:48:26.000Z,48.4897,-123.348,28.92,ML,1.38,"5 km N of Victoria, BC/5 km N de Victoria, BC"
20211011.0225007,2021-10-11T02:25:12.000Z,48.4742,-123.2513,22.95,ML,0.64,"9 km NE of Victoria, BC/9 km NE de Victoria, BC"
20210917.0403006,2021-09-17T04:03:29.000Z,48.4394,-123.2949,42.44,ML,0.31,"5 km E of Victoria, BC/5 km E de Victoria, BC"
20210901.2322010,2021-09-01T23:22:22.000Z,48.4708,-123.4346,13.08,ML,0.71,"6 km NW of Victoria, BC/6 km NO de Victoria, BC"
20210813.2125007,2021-08-13T21:25:06.000Z,48.493,-123.3984,28.16,ML,1.96,"6 km N of Victoria, BC/6 km N de Victoria, BC"
20210813.1325003,2021-08-13T13:25:20.000Z,48.4814,-123.3975,25.34,ML,0.5,"5 km N of Victoria, BC/5 km N de Victoria, BC"
20210731.0558004,2021-07-31T05:58:23.000Z,48.4707,-123.4017,20.58,ML,0.4,"4 km NW of Victoria, BC/4 km NO de Victoria, BC"
20210703.0945003,2021-07-03T09:45:32.000Z,48.4467,-123.2938,21.15,ML,0.9,"5 km E of Victoria, BC/5 km E de Victoria, BC"
20210504.0254004,2021-05-04T02:54:19.000Z,48.4698,-123.444,17.66,ML,0.8,"6 km NW of Victoria, Canada/6 km NO de Victoria, Canada"
20210427.0922003,2021-04-27T09:22:41.000Z,48.4518,-123.3858,20.25,ML,0.9,"2 km NW of Victoria, BC/2 km NO de Victoria, BC"
20210326.0453003,2021-03-26T04:53:03.000Z,48.4257,-123.2417,46.61,ML,2.02,"9 km E of Victoria, BC/9 km E de Victoria, BC"
20210116.0034001,2021-01-16T00:34:02.000Z,48.4406,-123.2682,19.71,ML,1.1,"7 km E of Victoria, BC/7 km E de Victoria, BC"
20210110.1102001,2021-01-10T11:02:32.000Z,48.4292,-123.3164,14.78,ML,1.3,"4 km E of Victoria, BC/4 km E de Victoria, BC"
20201216.0006001,2020-12-16T00:06:23.000Z,48.4065,-123.4969,18.87,ML,0.6,"9 km W of Victoria, Canada/9 km O de Victoria, Canada"
20201120.2151001,2020-11-20T21:51:21.000Z,48.458,-123.2426,24.62,ML,1.3,"9 km E of Victoria, BC/9 km E de Victoria, BC"
20201021.1957001,2020-10-21T19:57:16.000Z,48.4383,-123.4744,15.43,ML,0.5,"7 km W of Victoria, Canada/7 km O de Victoria, Canada"
20200917.1754001,2020-09-17T17:54:29.000Z,48.493,-123.4388,11.77,ML,1,"7 km NW of Victoria, BC/7 km NO de Victoria, BC"
20200916.1155001,2020-09-16T11:55:35.000Z,48.453,-123.381,19.27,ML,0,"2 km NW of Victoria, BC/2 km NO de Victoria, BC"
20200914.0005002,2020-09-14T00:05:54.000Z,48.502,-123.3913,29.27,ML,1.4,"7 km N of Victoria, BC/7 km N de Victoria, BC"
20200722.2131001,2020-07-22T21:31:54.000Z,48.4277,-123.4761,0,ML,0.5,"7 km W of Victoria, Canada/7 km O de Victoria, Canada"
20200708.0733002,2020-07-08T07:33:58.000Z,48.4825,-123.421,18.74,ML,0.3,"6 km NW of Victoria, BC/6 km NO de Victoria, BC"
20200705.1429002,2020-07-05T14:29:45.000Z,48.4599,-123.4083,20.46,ML,0.5,"3 km NW of Victoria, BC/3 km NO de Victoria, BC"
20200702.1728002,2020-07-02T17:28:02.000Z,48.4537,-123.4927,11.42,ML,0.3,"9 km W of Victoria, Canada/9 km O de Victoria, Canada"
20200530.0000002,2020-05-30T00:00:51.000Z,48.3786,-123.3877,40.65,ML,1.2,"7 km S of Victoria, Canada/7 km S de Victoria, Canada"
20200519.2353001,2020-05-19T23:53:09.000Z,48.4683,-123.2677,20.96,ML,1,"8 km E of Victoria, BC/8 km E de Victoria, BC"
20200424.0101002,2020-04-24T01:01:51.000Z,48.4381,-123.237,26.28,ML,1.3,"10 km E of Victoria, BC/10 km E de Victoria, BC"
20200318.2129001,2020-03-18T21:29:18.000Z,48.4472,-123.419,19.57,ML,0.9,"3 km W of Victoria, Canada/3 km O de Victoria, Canada"
20200309.2214004,2020-03-09T22:14:46.000Z,48.4697,-123.45,21.71,ML,1.2,"6 km NW of Victoria, Canada/6 km NO de Victoria, Canada"
20200229.1335002,2020-02-29T13:35:12.000Z,48.4138,-123.4363,21.52,ML,1.3,"5 km SW of Victoria, Canada/5 km SO de Victoria, Canada"
20200213.0509001,2020-02-13T05:09:29.000Z,48.4821,-123.4542,23.47,ML,1,"8 km NW of Victoria, BC/8 km NO de Victoria, BC"
20200207.0255001,2020-02-07T02:55:03.000Z,48.4738,-123.2544,22.04,ML,0.5,"9 km NE of Victoria, BC/9 km NE de Victoria, BC"
20200125.2235002,2020-01-25T22:35:36.000Z,48.4276,-123.3226,16.74,ML,1.3,"3 km SE of Victoria, BC/3 km SE de Victoria, BC"
20200115.0926001,2020-01-15T09:26:10.000Z,48.3553,-123.3329,24.5,ML,1.1,"9 km S of Victoria, Canada/9 km S de Victoria, Canada"
20200115.0705001,2020-01-15T07:05:05.000Z,48.3579,-123.3497,23.84,ML,1,"9 km S of Victoria, Canada/9 km S de Victoria, Canada"
20191103.2345001,2019-11-03T23:45:58.000Z,48.4691,-123.3314,16.9,ML,0.3,"4 km NE of Victoria, BC/4 km NE de Victoria, BC"
20190912.0158001,2019-09-12T01:58:13.000Z,48.4696,-123.2891,21.54,ML,0.4,"7 km NE of Victoria, BC/7 km NE de Victoria, BC"
20190722.0712001,2019-07-22T07:12:21.000Z,48.4404,-123.2645,24.44,ML,0.8,"7 km E of Victoria, BC/7 km E de Victoria, BC"
20190721.0001001,2019-07-21T00:01:31.000Z,48.4287,-123.4413,0,ML,0.5,"5 km W of Victoria, Canada/5 km O de Victoria, Canada"
20190505.0626001,2019-05-05T06:26:34.000Z,48.3557,-123.406,38.84,ML,1.3,"9 km S of Victoria, Canada/9 km S de Victoria, Canada"
20190121.0040002,2019-01-21T00:40:53.000Z,48.4641,-123.4653,15.56,ML,1.3,"8 km WNW of Victoria, BC/8 km ONO de Victoria, BC"
20190118.0843001,2019-01-18T08:43:33.000Z,48.4305,-123.3117,47.89,ML,0.800001,"4 km E   of Victoria, BC/4 km E   de Victoria, BC"
20181231.0454003,2018-12-31T04:54:42.000Z,48.4496,-123.4728,5.45,ML,1.3,"8 km W   of Victoria, BC/8 km O   de Victoria, BC"
20181010.0306001,2018-10-10T03:06:04.000Z,48.4391,-123.4017,7.61,ML,0.100001,"2 km W   of Victoria, BC/2 km O   de Victoria, BC"
20180723.1448002,2018-07-23T14:48:39.000Z,48.4651,-123.482,23.68,ML,1.2,"9 km WNW of Victoria, BC/9 km ONO de Victoria, BC"
20180704.1939001,2018-07-04T19:39:45.000Z,48.4494,-123.2766,23.77,ML,1.2,"6 km E   of Victoria, BC/6 km E   de Victoria, BC"
20180103.1001001,2018-01-03T10:01:10.000Z,48.4597,-123.2698,22.27,ML,0.700001,"7 km ENE of Victoria, BC/7 km ENE de Victoria, BC"
20180101.0440001,2018-01-01T04:40:03.000Z,48.3984,-123.2606,17.02,ML,1.1,"8 km ESE of Victoria, BC/8 km ESE de Victoria, BC"
20171124.0237001,2017-11-24T02:37:05.000Z,48.3976,-123.3264,10.97,ML,1,"4 km SE  of Victoria, BC/4 km SE  de Victoria, BC"
20171012.0238001,2017-10-12T02:38:59.000Z,48.4672,-123.249,45.67,ML,0.700001,"9 km ENE of Victoria, BC/9 km ENE de Victoria, BC"
20170909.0648002,2017-09-09T06:48:09.000Z,48.4711,-123.4832,24.65,ML,0.700001,"9 km WNW of Victoria, BC/9 km ONO de Victoria, BC"
